Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
=====================================================================
1      Joe Johnson          ATL      11.35      8.75       20.10     
2      Josh Smith           ATL      17.47      13.96      31.43     
3      Josh Childress       ATL      11.65      8.69       20.35     
4      Marvin Williams      ATL      17.07      13.84      30.91     
5      Zaza Pachulia        ATL      3.25       2.37       5.61      
6      Shelden Williams     ATL      9.55       10.46      20.01     
7      Tyronn Lue           ATL      5.89       5.05       10.95     
8      Al Horford           ATL      7.58       5.52       13.09     
9      Royal Ivey           ATL      12.86      11.22      24.08     
10     Salim Stoudamire     ATL      10.55      8.80       19.35     
11     Lorenzen Wright      ATL      14.35      11.54      25.89     
12     Speedy Claxton       ATL      8.16       7.96       16.12     
13     Acie Law             ATL      2.93       2.25       5.18      
14     Solomon Jones        ATL      11.33      6.45       17.78     
15     Mario West           ATL      14.92      8.52       23.44     
16     Cedric Bozeman       ATL      2.72       2.67       5.39      
17     Matt Freije          ATL      6.12       8.36       14.48     
18     Jeremy Richardson    ATL      11.07      10.65      21.71     
19     Esteban Batista      ATL      4.67       3.92       8.58      
20     Stanislav Medvedenko ATL      7.55       7.90       15.45     
21     Dijon Thompson       ATL      2.69       0.88       3.57      
22     Kevin Garnett        BOS      14.74      12.56      27.30     
23     Ray Allen            BOS      6.02       8.95       14.98     
24     Ryan Gomes           BOS      19.84      13.72      33.56     
25     Paul Pierce          BOS      22.59      15.94      38.53     
26     James Posey          BOS      14.02      12.40      26.42     
27     Rajon Rondo          BOS      12.45      10.53      22.98     
28     Sebastian Telfair    BOS      12.59      8.13       20.72     
29     Kendrick Perkins     BOS      20.50      15.02      35.52     
30     Eddie House          BOS      3.66       11.10      14.76     
31     Tony Allen           BOS      6.50       5.47       11.97     
32     Leon Powe            BOS      15.54      16.29      31.83     
33     P.J. Brown           BOS      13.08      12.11      25.18     
34     Brian Scalabrine     BOS      10.11      8.14       18.25     
35     Glen Davis           BOS      16.50      11.66      28.16     
36     Allan Ray            BOS      6.25       5.83       12.08     
37     Scot Pollard         BOS      5.29       4.01       9.30      
