predicted_name
Troy Murphy
Chuck Hayes
Brent Barry
Craig Smith
Stromile Swift
Charlie Bell
Dwyane Wade
Anderson Varejao
Mickael Pietrus
Yakhouba Diawara
Damon Stoudamire
Carlos Boozer
Paul Millsap
Ime Udoka
Michael Doleac
Dwight Howard
Antoine Walker
Quentin Richardson
Renaldo Balkman
Earl Boykins
Allen Iverson
Maurice Evans
Stephon Marbury
Mickael Pietrus
Martell Webster
Chris Webber
Anderson Varejao
Brendan Haywood
Luther Head
Antonio McDyess
Ronnie Price
Matt Harpring
Antawn Jamison
Rudy Gay
Luol Deng
Ricky Davis
Juwan Howard
Antoine Walker
Charlie Bell
LaMarcus Aldridge
Zydrunas Ilgauskas
P.J. Brown
Smush Parker
Udonis Haslem
Carlos Arroyo
Deron Williams
Baron Davis
Allen Iverson
Kobe Bryant
Stephon Marbury
Eddy Curry
Brian Skinner
Anthony Parker
Charlie Bell
Jason Richardson
Quentin Richardson
Linas Kleiza
Sebastian Telfair
Marcus Camby
Francisco Garcia
Gilbert Arenas
Manu Ginobili
Steve Nash
Caron Butler
Ben Wallace
Antonio McDyess
David Noel
Jake Tsakalidis
Amar'e Stoudemire
Sam Cassell
Tim Thomas
Deron Williams
P.J. Brown
Stephen Jackson
Shammond Williams
Earl Boykins
Nate Robinson
Stephon Marbury
Marvin Williams
Charlie Villanueva
Rajon Rondo
Josh Smith
Danny Granger
Ben Wallace
Eric Snow
Delonte West
David Lee
Juan Dixon
Shaquille O'Neal
Jordan Farmar
Luol Deng
Ricky Davis
Andris Biedrins
Kyle Korver
P.J. Brown
Mickael Pietrus
Chris Duhon
Randy Foye
Matt Harpring
Stephen Jackson
Tyrus Thomas
Derek Fisher
Desmond Mason
Marcus Camby
Amar'e Stoudemire
LaMarcus Aldridge
Andrei Kirilenko
Nene Hilario
Drew Gooden
Jorge Garbajosa
Antonio McDyess
Monta Ellis
Steve Blake
DeShawn Stevenson
Andre Miller
Luol Deng
Jamal Crawford
Jason Kidd
Ray Allen
Lindsey Hunter
LaMarcus Aldridge
Jared Jeffries
DeShawn Stevenson
Mark Blount
Eduardo Najera
Francisco Garcia
Willie Green
Josh Smith
Martell Webster
Devin Brown
Oleksiy Pecherov
Grant Hill
Boris Diaw
Mehmet Okur
Tony Parker
Rudy Gay
Joel Anthony
Kirk Hinrich
Chris Bosh
Beno Udrih
Ryan Gomes
Mike Dunleavy
Tracy McGrady
Anderson Varejao
Joel Anthony
Juan Carlos Navarro
Amar'e Stoudemire
Jason Williams
Rashad McCants
Daequan Cook
Francisco Garcia
Baron Davis
Michael Redd
Michael Finley
Bruce Bowen
Monta Ellis
Corey Brewer
Jason Terry
Anthony Parker
Rashad McCants
LeBron James
Steve Nash
Kyle Lowry
Amir Johnson
Rasho Nesterovic
Keith Bogans
Francisco Garcia
Matt Barnes
Bruce Bowen
Jason Kapono
Carlos Arroyo
Rudy Gay
Travis Diener
Jason Williams
Antonio McDyess
Steve Blake
Josh Smith
