True,Predicted,Correct
Troy Murphy,Troy Murphy,True
Chuck Hayes,Chuck Hayes,True
Brent Barry,Brent Barry,True
Craig Smith,Craig Smith,True
Stromile Swift,Stromile Swift,True
Charlie Bell,Charlie Bell,True
Dwyane Wade,Dwyane Wade,True
Anderson Varejao,Anderson Varejao,True
Mickael Pietrus,Mickael Pietrus,True
Yakhouba Diawara,Yakhouba Diawara,True
Damon Stoudamire,Damon Stoudamire,True
Carlos Boozer,Carlos Boozer,True
Paul Millsap,Paul Millsap,True
Ime Udoka,Ime Udoka,True
Michael Doleac,Michael Doleac,True
Dwight Howard,Dwight Howard,True
Antoine Walker,Antoine Walker,True
Quentin Richardson,Quentin Richardson,True
Renaldo Balkman,Renaldo Balkman,True
J.R. Smith,Earl Boykins,False
Allen Iverson,Allen Iverson,True
Maurice Evans,Maurice Evans,True
Stephon Marbury,Stephon Marbury,True
Matt Barnes,Mickael Pietrus,False
Martell Webster,Martell Webster,True
Chris Webber,Chris Webber,True
Damon Jones,Anderson Varejao,False
Antawn Jamison,Brendan Haywood,False
Luther Head,Luther Head,True
Antonio McDyess,Antonio McDyess,True
Ronnie Price,Ronnie Price,True
Matt Harpring,Matt Harpring,True
Antawn Jamison,Antawn Jamison,True
Mike Miller,Rudy Gay,False
Luol Deng,Luol Deng,True
Trenton Hassell,Ricky Davis,False
Juwan Howard,Juwan Howard,True
Antoine Walker,Antoine Walker,True
Charlie Bell,Charlie Bell,True
LaMarcus Aldridge,LaMarcus Aldridge,True
Zydrunas Ilgauskas,Zydrunas Ilgauskas,True
P.J. Brown,P.J. Brown,True
Smush Parker,Smush Parker,True
Udonis Haslem,Udonis Haslem,True
Carlos Arroyo,Carlos Arroyo,True
Deron Williams,Deron Williams,True
Baron Davis,Baron Davis,True
Allen Iverson,Allen Iverson,True
Kobe Bryant,Kobe Bryant,True
Stephon Marbury,Stephon Marbury,True
Eddy Curry,Eddy Curry,True
Brian Skinner,Brian Skinner,True
Anthony Parker,Anthony Parker,True
Charlie Bell,Charlie Bell,True
Mickael Pietrus,Jason Richardson,False
Jared Jeffries,Quentin Richardson,False
Jamal Sampson,Linas Kleiza,False
Sebastian Telfair,Sebastian Telfair,True
Marcus Camby,Marcus Camby,True
Francisco Garcia,Francisco Garcia,True
Gilbert Arenas,Gilbert Arenas,True
Manu Ginobili,Manu Ginobili,True
Steve Nash,Steve Nash,True
Caron Butler,Caron Butler,True
Ben Gordon,Ben Wallace,False
Carlos Delfino,Antonio McDyess,False
David Noel,David Noel,True
Jake Tsakalidis,Jake Tsakalidis,True
Amar'e Stoudemire,Amar'e Stoudemire,True
Sam Cassell,Sam Cassell,True
Shaun Livingston,Tim Thomas,False
Gordan Giricek,Deron Williams,False
Mike Sweetney,P.J. Brown,False
Stephen Jackson,Stephen Jackson,True
Shammond Williams,Shammond Williams,True
Earl Boykins,Earl Boykins,True
Nate Robinson,Nate Robinson,True
Steve Francis,Stephon Marbury,False
Josh Smith,Marvin Williams,False
Charlie Villanueva,Charlie Villanueva,True
Rajon Rondo,Rajon Rondo,True
Lorenzen Wright,Josh Smith,False
Danny Granger,Danny Granger,True
Ben Gordon,Ben Wallace,False
Eric Snow,Eric Snow,True
Gerald Green,Delonte West,False
David Lee,David Lee,True
Juan Dixon,Juan Dixon,True
Shaquille O'Neal,Shaquille O'Neal,True
Jordan Farmar,Jordan Farmar,True
Luol Deng,Luol Deng,True
Ricky Davis,Ricky Davis,True
Andris Biedrins,Andris Biedrins,True
Samuel Dalembert,Kyle Korver,False
P.J. Brown,P.J. Brown,True
Matt Barnes,Mickael Pietrus,False
Chris Duhon,Chris Duhon,True
Randy Foye,Randy Foye,True
Matt Harpring,Matt Harpring,True
Stephen Jackson,Stephen Jackson,True
Tyrus Thomas,Tyrus Thomas,True
Derek Fisher,Derek Fisher,True
Desmond Mason,Desmond Mason,True
Kenyon Martin,Marcus Camby,False
Amar'e Stoudemire,Amar'e Stoudemire,True
LaMarcus Aldridge,LaMarcus Aldridge,True
Andrei Kirilenko,Andrei Kirilenko,True
Nene Hilario,Nene Hilario,True
Drew Gooden,Drew Gooden,True
Jorge Garbajosa,Jorge Garbajosa,True
Antonio McDyess,Antonio McDyess,True
Monta Ellis,Monta Ellis,True
Steve Blake,Steve Blake,True
DeShawn Stevenson,DeShawn Stevenson,True
Andre Miller,Andre Miller,True
Luol Deng,Luol Deng,True
Jamal Crawford,Jamal Crawford,True
Jason Kidd,Jason Kidd,True
Ray Allen,Ray Allen,True
Lindsey Hunter,Lindsey Hunter,True
LaMarcus Aldridge,LaMarcus Aldridge,True
Jared Jeffries,Jared Jeffries,True
DeShawn Stevenson,DeShawn Stevenson,True
Mark Blount,Mark Blount,True
Eduardo Najera,Eduardo Najera,True
Francisco Garcia,Francisco Garcia,True
Willie Green,Willie Green,True
Josh Smith,Josh Smith,True
Martell Webster,Martell Webster,True
Devin Brown,Devin Brown,True
Oleksiy Pecherov,Oleksiy Pecherov,True
Grant Hill,Grant Hill,True
Gordan Giricek,Boris Diaw,False
Paul Millsap,Mehmet Okur,False
Tony Parker,Tony Parker,True
Rudy Gay,Rudy Gay,True
Joel Anthony,Joel Anthony,True
