KNN_output	NBA_label	Match
predicted_name	removed_value	False
Troy Murphy	Troy Murphy	True
Chuck Hayes	Chuck Hayes	True
Brent Barry	Brent Barry	True
Craig Smith	Craig Smith	True
Stromile Swift	Stromile Swift	True
Charlie Bell	Charlie Bell	True
Dwyane Wade	Dwyane Wade	True
Anderson Varejao	Anderson Varejao	True
Mickael Pietrus	Mickael Pietrus	True
Yakhouba Diawara	Yakhouba Diawara	True
Damon Stoudamire	Damon Stoudamire	True
Carlos Boozer	Carlos Boozer	True
Paul Millsap	Paul Millsap	True
Ime Udoka	Ime Udoka	True
Michael Doleac	Michael Doleac	True
Dwight Howard	Dwight Howard	True
Antoine Walker	Antoine Walker	True
Quentin Richardson	Quentin Richardson	True
Renaldo Balkman	Renaldo Balkman	True
Earl Boykins	J.R. Smith	False
Allen Iverson	Allen Iverson	True
Maurice Evans	Maurice Evans	True
Stephon Marbury	Stephon Marbury	True
Mickael Pietrus	Matt Barnes	False
Martell Webster	Martell Webster	True
Chris Webber	Chris Webber	True
Anderson Varejao	Damon Jones	False
Brendan Haywood	Antawn Jamison	False
Luther Head	Luther Head	True
Antonio McDyess	Antonio McDyess	True
Ronnie Price	Ronnie Price	True
Matt Harpring	Matt Harpring	True
Antawn Jamison	Antawn Jamison	True
Rudy Gay	Mike Miller	False
Luol Deng	Luol Deng	True
Ricky Davis	Trenton Hassell	False
Juwan Howard	Juwan Howard	True
Antoine Walker	Antoine Walker	True
Charlie Bell	Charlie Bell	True
LaMarcus Aldridge	LaMarcus Aldridge	True
Zydrunas Ilgauskas	Zydrunas Ilgauskas	True
P.J. Brown	P.J. Brown	True
Smush Parker	Smush Parker	True
Udonis Haslem	Udonis Haslem	True
Carlos Arroyo	Carlos Arroyo	True
Deron Williams	Deron Williams	True
Baron Davis	Baron Davis	True
Allen Iverson	Allen Iverson	True
Kobe Bryant	Kobe Bryant	True
Stephon Marbury	Stephon Marbury	True
Eddy Curry	Eddy Curry	True
Brian Skinner	Brian Skinner	True
Anthony Parker	Anthony Parker	True
Charlie Bell	Charlie Bell	True
Jason Richardson	Mickael Pietrus	False
Quentin Richardson	Jared Jeffries	False
Linas Kleiza	Jamal Sampson	False
Sebastian Telfair	Sebastian Telfair	True
Marcus Camby	Marcus Camby	True
Francisco Garcia	Francisco Garcia	True
Gilbert Arenas	Gilbert Arenas	True
Manu Ginobili	Manu Ginobili	True
Steve Nash	Steve Nash	True
Caron Butler	Caron Butler	True
Ben Wallace	Ben Gordon	False
Antonio McDyess	Carlos Delfino	False
David Noel	David Noel	True
Jake Tsakalidis	Jake Tsakalidis	True
Amar'e Stoudemire	Amar'e Stoudemire	True
