Index  Player               Team     Appearances
================================================
1      Joe Johnson          ATL      2601      
2      Josh Smith           ATL      2464      
3      Josh Childress       ATL      2283      
4      Marvin Williams      ATL      2195      
5      Zaza Pachulia        ATL      1491      
6      Shelden Williams     ATL      1215      
7      Tyronn Lue           ATL      1156      
8      Al Horford           ATL      1050      
9      Royal Ivey           ATL      900       
10     Salim Stoudamire     ATL      759       
11     Lorenzen Wright      ATL      623       
12     Speedy Claxton       ATL      511       
13     Acie Law             ATL      457       
14     Solomon Jones        ATL      410       
15     Mario West           ATL      123       
16     Cedric Bozeman       ATL      104       
17     Matt Freije          ATL      89        
18     Jeremy Richardson    ATL      68        
19     Esteban Batista      ATL      47        
20     Stanislav Medvedenko ATL      44        
21     Dijon Thompson       ATL      29        
22     Kevin Garnett        BOS      2109      
23     Ray Allen            BOS      2023      
24     Ryan Gomes           BOS      1978      
25     Paul Pierce          BOS      1949      
26     James Posey          BOS      1921      
27     Rajon Rondo          BOS      1759      
28     Sebastian Telfair    BOS      1585      
29     Kendrick Perkins     BOS      1372      
30     Eddie House          BOS      1286      
31     Tony Allen           BOS      1054      
32     Leon Powe            BOS      792       
33     P.J. Brown           BOS      751       
34     Brian Scalabrine     BOS      748       
35     Glen Davis           BOS      477       
36     Allan Ray            BOS      337       
37     Scot Pollard         BOS      156       
38     Michael Olowokandi   BOS      132       
39     Kevinn Pinkney       BOS      53        
40     Gabe Pruitt          BOS      41        
41     Raymond Felton       CHA      2480      
42     Gerald Wallace       CHA      2252      
43     Emeka Okafor         CHA      2101      
44     Jason Richardson     CHA      2054      
45     Matt Carroll         CHA      1838      
46     Earl Boykins         CHA      1340      
47     Adam Morrison        CHA      1170      
48     Jeff McInnis         CHA      1049      
49     Derek Anderson       CHA      791       
50     Jake Voskuhl         CHA      770       
51     Jared Dudley         CHA      661       
52     Walter Herrmann      CHA      623       
53     Sean May             CHA      425       
54     Ryan Hollins         CHA      385       
55     Othella Harrington   CHA      233       
56     Jermareo Davidson    CHA      155       
57     Bernard Robinson     CHA      149       
58     Alan Anderson        CHA      139       
59     Ben Gordon           CHI      2426      
60     Kirk Hinrich         CHI      2308      
61     Luol Deng            CHI      2304      
62     Ben Wallace          CHI      2126      
63     Chris Duhon          CHI      1680      
64     Andres Nocioni       CHI      1636      
65     Tyrus Thomas         CHI      1181      
66     Thabo Sefolosha      CHI      1107      
67     Joakim Noah          CHI      708       
68     Aaron Gray           CHI      312       
69     Mike Sweetney        CHI      222       
70     Shannon Brown        CHI      204       
71     Viktor Khryapa       CHI      171       
72     Demetris Nichols     CHI      17        
73     LeBron James         CLE      2697      
74     Larry Hughes         CLE      1995      
75     Drew Gooden          CLE      1777      
76     Zydrunas Ilgauskas   CLE      1720      
77     Anderson Varejao     CLE      1683      
78     Devin Brown          CLE      1507      
79     Wally Szczerbiak     CLE      1361      
80     Damon Jones          CLE      1327      
81     Daniel Gibson        CLE      1280      
82     Sasha Pavlovic       CLE      1134      
83     Eric Snow            CLE      993       
84     Donyell Marshall     CLE      905       
85     Cedric Simmons       CLE      309       
86     Dwayne Jones         CLE      270       
87     David Wesley         CLE      167       
88     Kaniel Dickens       CLE      5         
89     Lance Allred         CLE      4         
90     Jason Terry          DAL      2674      
91     Dirk Nowitzki        DAL      2657      
92     Josh Howard          DAL      2468      
93     Devin Harris         DAL      1930      
94     Erick Dampier        DAL      1667      
95     Jerry Stackhouse     DAL      1636      
96     DeSagana Diop        DAL      1495      
97     Antoine Wright       DAL      1157      
98     Devean George        DAL      1142      
99     Eddie Jones          DAL      1140      
100    Greg Buckner         DAL      1042      
101    Brandon Bass         DAL      945       
102    J.J. Barea           DAL      334       
103    Pops Mensah-Bonsu    DAL      36        
104    Kevin Willis         DAL      19        
105    Allen Iverson        DEN      2843      
106    Carmelo Anthony      DEN      2328      
107    Marcus Camby         DEN      2219      
108    Linas Kleiza         DEN      1795      
109    Eduardo Najera       DEN      1742      
110    J.R. Smith           DEN      1524      
111    Chucky Atkins        DEN      1261      
112    Nene Hilario         DEN      964       
113    Kenyon Martin        DEN      895       
114    Yakhouba Diawara     DEN      857       
115    Steven Hunter        DEN      792       
116    Anthony Carter       DEN      775       
117    Von Wafer            DEN      64        
118    Jamal Sampson        DEN      51        
119    Julius Hodge         DEN      28        
120    Jelani McCoy         DEN      11        
121    Tayshaun Prince      DET      2212      
122    Richard Hamilton     DET      2034      
123    Chauncey Billups     DET      1957      
124    Rasheed Wallace      DET      1820      
125    Antonio McDyess      DET      1753      
126    Jarvis Hayes         DET      1477      
127    Jason Maxiell        DET      1398      
128    Nazr Mohammed        DET      1055      
129    Primoz Brezec        DET      547       
130    Rodney Stuckey       DET      537       
131    Lindsey Hunter       DET      522       
132    Arron Afflalo        DET      451       
133    Amir Johnson         DET      404       
134    Dale Davis           DET      227       
135    Theo Ratliff         DET      223       
136    Will Blalock         DET      96        
137    Ronald Dupree        DET      39        
138    Monta Ellis          GSW      2621      
139    Baron Davis          GSW      2421      
140    Stephen Jackson      GSW      2372      
141    Al Harrington        GSW      2146      
142    Andris Biedrins      GSW      1968      
143    Matt Barnes          GSW      1608      
144    Mickael Pietrus      GSW      1595      
145    Kelenna Azubuike     GSW      1205      
146    Chris Webber         GSW      742       
147    Josh Powell          GSW      702       
148    Austin Croshere      GSW      643       
149    Sarunas Jasikevicius GSW      525       
150    Keith McLeod         GSW      360       
151    Troy Hudson          GSW      312       
152    Didier Ilunga-Mbenga GSW      210       
153    C.J. Watson          GSW      197       
154    Brandan Wright       GSW      169       
155    Marco Belinelli      GSW      116       
156    Anthony Roberson     GSW      113       
157    Patrick O'Bryant     GSW      99        
158    Dajuan Wagner        GSW      1         
159    Shane Battier        HOU      2362      
160    Rafer Alston         HOU      2247      
161    Tracy McGrady        HOU      2076      
162    Luther Head          HOU      1757      
163    Yao Ming             HOU      1454      
164    Bobby Jackson        HOU      1404      
165    Chuck Hayes          HOU      1377      
166    Mike James           HOU      1191      
167    Juwan Howard         HOU      1178      
168    Bonzi Wells          HOU      1105      
169    Luis Scola           HOU      899       
170    Dikembe Mutombo      HOU      786       
171    Steve Francis        HOU      664       
172    Kirk Snyder          HOU      613       
173    Carl Landry          HOU      372       
174    Aaron Brooks         HOU      292       
175    Steve Novak          HOU      210       
176    Jake Tsakalidis      HOU      190       
177    John Lucas III       HOU      186       
178    Vassilis Spanoulis   HOU      136       
179    Scott Padgett        HOU      120       
180    Mike Harris          HOU      78        
181    Loren Woods          HOU      9         
182    Danny Granger        IND      2601      
183    Mike Dunleavy        IND      2517      
184    Troy Murphy          IND      1759      
185    Jeff Foster          IND      1699      
186    Jermaine O'Neal      IND      1649      
187    Jamaal Tinsley       IND      1551      
188    Marquis Daniels      IND      1306      
189    Ronald Murray        IND      1099      
190    Shawne Williams      IND      836       
191    Travis Diener        IND      793       
192    Kareem Rush          IND      773       
193    Ike Diogu            IND      571       
194    David Harrison       IND      516       
195    Maceo Baston         IND      273       
196    Rawle Marshall       IND      192       
197    Andre Owens          IND      184       
198    Orien Greene         IND      167       
199    Courtney Sims        IND      6         
200    Cuttino Mobley       LAC      2432      
201    Corey Maggette       LAC      2132      
202    Tim Thomas           LAC      1844      
203    Chris Kaman          LAC      1776      
204    Elton Brand          LAC      1442      
205    Quinton Ross         LAC      1362      
206    Brevin Knight        LAC      1349      
207    Ruben Patterson      LAC      1243      
208    Smush Parker         LAC      1229      
209    Sam Cassell          LAC      1158      
210    Al Thornton          LAC      972       
211    Shaun Livingston     LAC      750       
212    Daniel Ewing         LAC      363       
213    Aaron Williams       LAC      326       
214    Paul Davis           LAC      189       
215    James Singleton      LAC      184       
216    Nick Fazekas         LAC      128       
217    Richie Frahm         LAC      69        
218    Doug Christie        LAC      43        
219    Will Conroy          LAC      33        
220    Andre Barrett        LAC      25        
221    Yaroslav Korolev     LAC      12        
222    Guillermo Diaz       LAC      5         
223    Alvin Williams       LAC      4         
224    Kobe Bryant          LAL      2632      
225    Lamar Odom           LAL      2102      
226    Pau Gasol            LAL      1945      
227    Derek Fisher         LAL      1804      
228    Maurice Evans        LAL      1618      
229    Luke Walton          LAL      1542      
230    Jordan Farmar        LAL      1475      
231    Ronny Turiaf         LAL      1250      
232    Andrew Bynum         LAL      1181      
233    Sasha Vujacic        LAL      1127      
234    Vladimir Radmanovic  LAL      1055      
235    Trevor Ariza         LAL      943       
236    Kwame Brown          LAL      770       
237    Javaris Crittenton   LAL      356       
238    Shammond Williams    LAL      183       
239    Chris Mihm           LAL      126       
240    Aaron McKie          LAL      71        
241    Coby Karl            LAL      26        
242    Rudy Gay             MEM      2337      
243    Mike Miller          MEM      2322      
244    Hakim Warrick        MEM      1917      
245    Darko Milicic        MEM      1690      
246    Kyle Lowry           MEM      1186      
247    Damon Stoudamire     MEM      1156      
248    Juan Carlos Navarro  MEM      1000      
249    Mike Conley          MEM      558       
250    Tarence Kinsey       MEM      532       
251    Lawrence Roberts     MEM      485       
252    Brian Cardinal       MEM      409       
253    Casey Jacobsen       MEM      310       
254    Andre Brown          MEM      281       
255    Junior Harrington    MEM      266       
256    Ricky Davis          MIA      2563      
257    Shawn Marion         MIA      2227      
258    Udonis Haslem        MIA      1807      
259    Dwyane Wade          MIA      1731      
260    Jason Williams       MIA      1607      
261    Shaquille O'Neal     MIA      1209      
262    Dorell Wright        MIA      1102      
263    Alonzo Mourning      MIA      930       
264    Chris Quinn          MIA      789       
265    Gary Payton          MIA      740       
266    Daequan Cook         MIA      690       
267    Alexander Johnson    MIA      650       
268    Marcus Banks         MIA      551       
269    Earl Barron          MIA      529       
270    Joel Anthony         MIA      241       
271    Luke Jackson         MIA      167       
272    Kasib Powell         MIA      152       
273    Anfernee Hardaway    MIA      150       
274    Stephane Lasme       MIA      137       
275    Blake Ahearn         MIA      94        
276    Robert Hite          MIA      67        
277    Wayne Simien         MIA      43        
278    Charlie Bell         MIL      2083      
279    Mo Williams          MIL      1973      
280    Andrew Bogut         MIL      1959      
281    Michael Redd         MIL      1924      
282    Desmond Mason        MIL      1696      
283    Charlie Villanueva   MIL      1291      
284    Dan Gadzuric         MIL      690       
285    Bobby Simmons        MIL      684       
286    Yi Jianlian          MIL      614       
287    Ersan Ilyasova       MIL      474       
288    Michael Ruffin       MIL      454       
289    David Noel           MIL      408       
290    Lynn Greer           MIL      206       
291    Ramon Sessions       MIL      179       
292    Jared Reiner         MIL      123       
293    Awvee Storey         MIL      119       
294    Damir Markota        MIL      68        
295    Al Jefferson         MIN      2220      
296    Marko Jaric          MIN      1719      
297    Craig Smith          MIN      1610      
298    Mark Blount          MIN      1592      
299    Antoine Walker       MIN      1443      
300    Randy Foye           MIN      1437      
301    Rashad McCants       MIN      1271      
302    Gerald Green         MIN      1037      
303    Corey Brewer         MIN      816       
304    Michael Doleac       MIN      477       
305    Mark Madsen          MIN      322       
306    Chris Richard        MIN      286       
307    Justin Reed          MIN      172       
308    Bracey Wright        MIN      103       
309    Eddie Griffin        MIN      46        
310    Vince Carter         NJN      2660      
311    Jason Kidd           NJN      2511      
312    Richard Jefferson    NJN      2277      
313    Mikki Moore          NJN      1899      
314    Bostjan Nachbar      NJN      1730      
315    Trenton Hassell      NJN      1277      
316    Jason Collins        NJN      1229      
317    Marcus Williams      NJN      1199      
318    Josh Boone           NJN      1122      
319    Jamaal Magloire      NJN      1013      
320    Stromile Swift       NJN      1003      
321    Darrell Armstrong    NJN      995       
322    Malik Allen          NJN      855       
323    Nenad Krstic         NJN      686       
