Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
=====================================================================
1      Josh Smith           ATL      13.18      9.96       23.14     
2      Joe Johnson          ATL      6.49       4.75       11.24     
3      Josh Childress       ATL      8.41       5.78       14.19     
4      Marvin Williams      ATL      16.53      13.31      29.84     
5      Zaza Pachulia        ATL      3.30       2.46       5.76      
6      Shelden Williams     ATL      9.59       10.58      20.17     
7      Tyronn Lue           ATL      5.84       5.13       10.97     
8      Salim Stoudamire     ATL      10.06      8.71       18.77     
9      Lorenzen Wright      ATL      11.60      13.38      24.98     
10     Speedy Claxton       ATL      8.16       7.96       16.12     
11     Solomon Jones        ATL      11.16      6.22       17.38     
12     Royal Ivey           ATL      13.15      12.02      25.18     
13     Cedric Bozeman       ATL      2.72       2.67       5.39      
14     Matt Freije          ATL      6.12       8.36       14.48     
15     Esteban Batista      ATL      4.67       3.92       8.58      
16     Stanislav Medvedenko ATL      7.55       7.90       15.45     
17     Dijon Thompson       ATL      2.69       0.88       3.57      
18     Jeremy Richardson    ATL      2.73       4.00       6.73      
19     Delonte West         BOS      13.22      11.12      24.35     
20     Al Jefferson         BOS      3.79       2.97       6.77      
21     Ryan Gomes           BOS      18.65      13.01      31.66     
22     Rajon Rondo          BOS      11.92      10.12      22.04     
23     Gerald Green         BOS      12.15      9.44       21.59     
24     Paul Pierce          BOS      22.75      14.90      37.65     
25     Sebastian Telfair    BOS      11.83      7.61       19.44     
26     Kendrick Perkins     BOS      19.31      13.19      32.50     
27     Brian Scalabrine     BOS      9.53       7.83       17.36     
28     Wally Szczerbiak     BOS      3.57       2.69       6.26      
29     Leon Powe            BOS      8.06       15.43      23.49     
30     Tony Allen           BOS      6.92       5.17       12.09     
31     Allan Ray            BOS      6.25       5.83       12.08     
32     Michael Olowokandi   BOS      9.12       7.91       17.03     
33     Kevinn Pinkney       BOS      4.63       15.27      19.90     
34     Theo Ratliff         BOS      6.00       0.00       6.00      
35     Raymond Felton       CHA      0.00       10.28      10.28     
36     Gerald Wallace       CHA      0.00       15.58      15.58     
37     Adam Morrison        CHA      0.00       2.85       2.85      
38     Emeka Okafor         CHA      0.00       12.81      12.81     
39     Matt Carroll         CHA      0.00       16.45      16.45     
40     Brevin Knight        CHA      0.00       8.14       8.14      
41     Derek Anderson       CHA      0.00       10.79      10.79     
42     Jake Voskuhl         CHA      0.00       12.48      12.48     
43     Walter Herrmann      CHA      0.00       3.24       3.24      
44     Sean May             CHA      0.00       3.43       3.43      
45     Jeff McInnis         CHA      0.00       12.22      12.22     
46     Primoz Brezec        CHA      0.00       9.61       9.61      
47     Melvin Ely           CHA      1.44       11.52      12.96     
48     Bernard Robinson     CHA      0.00       5.86       5.86      
49     Alan Anderson        CHA      0.00       5.04       5.04      
50     Othella Harrington   CHA      0.00       7.83       7.83      
51     Ryan Hollins         CHA      0.00       5.55       5.55      
52     Luol Deng            CHI      14.73      11.47      26.19     
53     Ben Gordon           CHI      9.15       7.72       16.87     
54     Kirk Hinrich         CHI      14.31      12.38      26.69     
55     Ben Wallace          CHI      10.22      10.35      20.57     
56     Chris Duhon          CHI      12.98      10.79      23.77     
57     Andres Nocioni       CHI      5.62       5.60       11.21     
58     P.J. Brown           CHI      11.16      9.50       20.66     
59     Tyrus Thomas         CHI      6.64       4.99       11.63     
60     Thabo Sefolosha      CHI      10.71      9.96       20.67     
61     Malik Allen          CHI      13.55      11.54      25.09     
62     Adrian Griffin       CHI      2.87       2.77       5.64      
63     Mike Sweetney        CHI      10.96      5.55       16.51     
64     Viktor Khryapa       CHI      3.00       2.59       5.59      
65     Andre Barrett        CHI      4.00       5.21       9.21      
66     LeBron James         CLE      11.85      13.55      25.40     
67     Larry Hughes         CLE      16.15      14.34      30.49     
68     Anderson Varejao     CLE      2.83       2.72       5.55      
69     Drew Gooden          CLE      15.99      17.83      33.82     
70     Eric Snow            CLE      13.88      11.75      25.62     
71     Zydrunas Ilgauskas   CLE      4.26       3.61       7.87      
72     Donyell Marshall     CLE      13.31      10.81      24.12     
73     Sasha Pavlovic       CLE      10.05      10.77      20.82     
74     Damon Jones          CLE      6.43       4.62       11.05     
75     Daniel Gibson        CLE      9.94       9.19       19.13     
76     David Wesley         CLE      10.31      9.55       19.86     
77     Shannon Brown        CLE      6.09       6.25       12.34     
78     Ira Newble           CLE      15.12      10.05      25.17     
79     Scot Pollard         CLE      2.82       5.47       8.28      
80     Dwayne Jones         CLE      11.20      0.00       11.20     
81     Dirk Nowitzki        DAL      15.62      11.27      26.88     
82     Jason Terry          DAL      10.40      10.23      20.63     
83     Josh Howard          DAL      5.32       5.71       11.03     
84     Devin Harris         DAL      11.15      8.75       19.90     
85     Jerry Stackhouse     DAL      5.63       6.71       12.34     
86     Erick Dampier        DAL      14.20      11.00      25.20     
87     DeSagana Diop        DAL      7.74       6.29       14.03     
88     Greg Buckner         DAL      13.07      9.04       22.11     
89     Anthony Johnson      DAL      3.28       1.92       5.20      
90     Devean George        DAL      13.50      8.71       22.21     
91     Austin Croshere      DAL      5.46       3.83       9.30      
92     Maurice Ager         DAL      3.02       3.17       6.20      
93     J.J. Barea           DAL      7.66       13.59      21.25     
94     Didier Ilunga-Mbenga DAL      8.17       9.74       17.91     
95     Pops Mensah-Bonsu    DAL      1.00       1.91       2.91      
96     Kevin Willis         DAL      4.33       8.00       12.33     
97     Allen Iverson        DEN      6.28       5.77       12.05     
98     Carmelo Anthony      DEN      7.55       6.39       13.93     
99     Marcus Camby         DEN      15.80      13.74      29.54     
100    Steve Blake          DEN      6.68       6.93       13.61     
101    Earl Boykins         DEN      13.47      11.73      25.20     
102    Nene Hilario         DEN      12.14      13.97      26.10     
103    Eduardo Najera       DEN      13.77      10.39      24.15     
104    Linas Kleiza         DEN      17.93      14.10      32.02     
105    J.R. Smith           DEN      12.55      12.41      24.97     
106    Reggie Evans         DEN      8.46       9.22       17.68     
107    Yakhouba Diawara     DEN      3.12       3.03       6.15      
108    DerMarr Johnson      DEN      11.42      6.60       18.02     
109    Jamal Sampson        DEN      6.06       12.85      18.91     
110    Julius Hodge         DEN      4.33       11.80      16.13     
111    Kenyon Martin        DEN      11.07      5.94       17.02     
112    Anthony Carter       DEN      4.50       4.80       9.30      
113    Tayshaun Prince      DET      5.87       4.93       10.80     
114    Richard Hamilton     DET      10.82      8.50       19.32     
115    Chauncey Billups     DET      11.19      9.94       21.13     
116    Rasheed Wallace      DET      14.27      12.55      26.82     
117    Antonio McDyess      DET      9.29       5.54       14.83     
