game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200702030HOU,2007,HOU,NOK,40,40,Bonzi Wells,John Lucas III,Luther Head,Scott Padgett,Shane Battier,Bobby Jackson,David West,Devin Brown,Hilton Armstrong,Jannero Pargo,1,0,1,1,1,0,0,0,0,0,1,1,0,0,2,1.0,1.0,0.0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,3,0.5,0.0,1.0,-1
200702030HOU,2007,HOU,NOK,41,41,Bonzi Wells,John Lucas III,Scott Padgett,Shane Battier,Tracy McGrady,Bobby Jackson,David West,Devin Brown,Hilton Armstrong,Jannero Pargo,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1
200702030HOU,2007,HOU,NOK,42,42,Bonzi Wells,John Lucas III,Scott Padgett,Shane Battier,Tracy McGrady,Chris Paul,David West,Devin Brown,Jannero Pargo,Tyson Chandler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,2,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,-1
200702030HOU,2007,HOU,NOK,43,43,Bonzi Wells,John Lucas III,Scott Padgett,Shane Battier,Tracy McGrady,Chris Paul,David West,Devin Brown,Rasual Butler,Tyson Chandler,2,1,2,2,2,0,0,2,0,0,0,0,0,1,4,1.0,1.0,0.0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
200702030HOU,2007,HOU,NOK,44,45,Bonzi Wells,Luther Head,Scott Padgett,Shane Battier,Tracy McGrady,Chris Paul,David West,Devin Brown,Rasual Butler,Tyson Chandler,3,0,1,2,0,1,1,0,0,0,2,2,0,0,3,0.3333333333333333,0.0,1.0,3,2,2,1,0,2,2,1,0,2,2,2,0,0,6,0.6666666666666666,0.0,1.0,-1
200702030HOU,2007,HOU,NOK,46,46,John Lucas III,Luther Head,Scott Padgett,Steve Novak,Vassilis Spanoulis,Chris Paul,David West,Devin Brown,Rasual Butler,Tyson Chandler,2,2,1,1,0,1,1,1,0,1,0,0,0,0,3,0.5,0.0,1.0,2,0,2,1,1,1,1,2,0,0,1,1,0,0,5,1.0,1.0,1.0,-1
200702030HOU,2007,HOU,NOK,47,47,John Lucas III,Luther Head,Scott Padgett,Steve Novak,Vassilis Spanoulis,Chris Paul,Devin Brown,Linton Johnson,Rasual Butler,Tyson Chandler,2,0,2,2,2,0,0,0,0,0,0,0,0,0,4,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1
200702050HOU,2007,HOU,MIN,0,9,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Kevin Garnett,Mark Blount,Mike James,Ricky Davis,Trenton Hassell,17,4,6,15,6,2,0,4,2,1,10,7,3,1,12,0.35294117647058826,0.4,0.0,16,2,6,15,6,1,0,5,0,2,14,10,4,5,12,0.375,0.4,0.0,-1
200702050HOU,2007,HOU,MIN,10,12,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Mark Blount,Mark Madsen,Randy Foye,Ricky Davis,Trenton Hassell,9,1,5,9,5,0,0,1,1,0,5,2,3,0,10,0.5555555555555556,0.5555555555555556,0.0,5,2,1,5,1,0,0,1,0,1,3,1,2,0,2,0.2,0.2,0.0,1
200702050HOU,2007,HOU,MIN,13,13,Bonzi Wells,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Mark Blount,Mark Madsen,Randy Foye,Ricky Davis,Trenton Hassell,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,2,1.0,1.0,0.0,-1
200702050HOU,2007,HOU,MIN,14,15,Bonzi Wells,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Mark Blount,Mark Madsen,Marko Jaric,Randy Foye,Ricky Davis,6,3,1,5,1,1,0,0,0,0,5,1,4,0,2,0.16666666666666666,0.2,0.0,1,0,0,0,0,1,0,0,0,2,2,2,0,3,0,0.0,0.0,0.0,1
200702050HOU,2007,HOU,MIN,16,18,Bonzi Wells,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Craig Smith,Kevin Garnett,Marko Jaric,Randy Foye,Rashad McCants,4,4,1,4,1,0,0,1,0,0,5,3,2,0,2,0.25,0.25,0.0,6,0,3,4,2,2,1,1,0,0,4,4,0,0,7,0.5,0.5,0.5,-1
200702050HOU,2007,HOU,MIN,19,19,Chuck Hayes,Dikembe Mutombo,Luther Head,Shane Battier,Tracy McGrady,Craig Smith,Kevin Garnett,Marko Jaric,Mike James,Rashad McCants,2,3,2,1,1,1,1,1,0,1,1,0,1,0,5,1.0,1.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,1
200702050HOU,2007,HOU,MIN,20,20,Dikembe Mutombo,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Trenton Hassell,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0.0,0.0,0.0,2,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0.0,-1
200702050HOU,2007,HOU,MIN,21,24,Dikembe Mutombo,Luther Head,Rafer Alston,Shane Battier,Tracy McGrady,Kevin Garnett,Mark Blount,Mike James,Randy Foye,Trenton Hassell,7,0,5,5,4,2,1,1,0,0,4,4,0,1,11,0.7142857142857143,0.8,0.5,8,0,2,6,2,2,0,2,0,0,4,2,2,1,4,0.25,0.3333333333333333,0.0,1
200702050HOU,2007,HOU,MIN,25,32,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Kevin Garnett,Mark Blount,Marko Jaric,Trenton Hassell,Troy Hudson,12,6,7,10,6,2,1,3,2,1,6,4,2,0,15,0.5833333333333334,0.6,0.5,13,2,7,9,6,4,1,6,1,0,6,4,2,2,15,0.5384615384615384,0.6666666666666666,0.25,-1
